"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HOPS - ACRES HARVESTED  -  <b>VALUE</b>","HOPS - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","60,872",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","58,641",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","56,544",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","55,035",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","53,989",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","50,857",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,633",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","38,011",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","35,288",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,683",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,787",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,289",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","39,726",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","40,898",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,911",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,365",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,463",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,742",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,669",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,309",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","35,911",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","36,120",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","34,260",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","36,643",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,302",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","44,161",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,189",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","42,412",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,100",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","42,266",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","39,553",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","35,463",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","34,548",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","33,400",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,300",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","25,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,100",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,800",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","36,900",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","39,600",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,100",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","37,100",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,800",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,900",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,500",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,900",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,100",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,400",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,400",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,700",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,900",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,700",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,400",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,800",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,200",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,700",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,600",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,700",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,300",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","22,900",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,200",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","33,200",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","33,400",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,700",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","24,200",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","23,700",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,500",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","28,100",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","38,300",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","41,200",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","38,700",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","37,550",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","40,420",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","39,840",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","40,940",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","40,940",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","37,190",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,200",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","34,600",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","34,800",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","32,800",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,500",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","34,300",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","31,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","39,100",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","37,100",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","30,300",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","21,400",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","19,500",""
"SURVEY","1929","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","24,400",""
"SURVEY","1928","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","26,200",""
"SURVEY","1927","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","24,600",""
"SURVEY","1926","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","20,800",""
"SURVEY","1925","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","20,350",""
"SURVEY","1924","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","20,350",""
"SURVEY","1923","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","18,440",""
"SURVEY","1922","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","23,400",""
"SURVEY","1921","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","1920","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","27,000",""
"SURVEY","1919","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","22,000",""
"SURVEY","1918","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","25,900",""
"SURVEY","1917","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","29,900",""
"SURVEY","1916","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","43,900",""
"SURVEY","1915","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HOPS","TOTAL","NOT SPECIFIED","44,653",""
