"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"US1MICP0014","SAULT STE. MARIE 2.2 E, MI US","2021",,,,"        36",,,"8.8","2.31",,,,,,,,,,,,,,,"34.46","96.8",,,,,,,,,,
"USC00203429","GREENVILLE 2 NNE, MI US","2021",,,,,,,,,,"6817",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200718","BERGLAND DAM, MI US","2021",,,,,,,,,,"8782",,,,,,,,,,,,,,,,,,,,,,,,
"USC00200032","ADRIAN 2 NNE, MI US","2021",,,"       33","        12","-12","10","5.5","2.37",,,,,,,,,,,,,,,"42.04","33.9",,,"39.9",,,,,,,
"USC00201486","CHATHAM EXPERIMENT FARM 2, MI US","2021",,,"      111","        27",,"14","9.5","1.44",,"8318",,,,,,,,,,,,,"29.80","106.6",,,,,,,,,,
"USC00203421","GREENLAND 6 N, MI US","2021",,"277","      136",,"-7","36",,"1.46","92","8221",,,,,,,,,,,,,"35.44",,"43.9","54.0","33.8",,,,,,,
"US1MIAP0002","OSSINEKE 1.0 NNE, MI US","2021",,,,,,,,"1.54",,,,,,,,,,,,,,,"28.35",,,,,,,,,,,
"USC00200710","BENTON HARBOR AIRPORT, MI US","2021",,"1114","       27","        13","6","5","4.0","2.75","97","5586",,,,,,,,,,,,,"35.28","28.0","53.0","61.9","44.0",,,,,,,
"USC00205603","MORENCI, MI US","2021",,,"       37","        10",,"11","5.9",,,,,,,,,,,,,,,,,"31.6",,,,,,,,,,
"US1MIAP0001","ALPENA 1.6 SSW, MI US","2021",,,,"        16",,,"4.3","1.52",,,,,,,,,,,,,,,"25.32","40.6",,,,,,,,,,
"USC00208443","VASSAR, MI US","2021",,,"       66","        17",,"18","10.2","1.94","91",,,,,,,,,,,,,,"31.77","38.9",,"59.7",,,,,,,,
"USC00208202","TIPTON 2 WNW, MI US","2021",,,,,,,,,,"6027",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2021",,,,,,,,"2.34",,,,,,,,,,,,,,,"32.14",,,,,"       270","       240",,,"47.0","59.9",
"USW00014853","DETROIT WILLOW RUN AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201492","CHEBOYGAN, MI US","2021",,"335","       94","        22","-8","12","5.0","2.00","90","7589",,,,,,,,,,,,,"30.74","49.8","45.9","54.8","37.0",,,,,,,
"US1MIBN0004","NILES 2.7 W, MI US","2021",,,,,,,,"2.32",,,,,,,,,,,,,,,"40.23",,,,,,,,,,,
"US1MIBN0003","BUCHANAN 1.4 ESE, MI US","2021",,,,,,,,"2.30",,,,,,,,,,,,,,,"41.11",,,,,,,,,,,
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2021","9.4","363",,,"-18",,,"2.44","93","8245",,,,,,,,,,,,,"24.24",,"44.4","53.3","35.4","       260","       270",,,"48.1","70.0",
"USW00014858","HANCOCK HOUGHTON CO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MINW0008","WHITE CLOUD 7.5 ENE, MI US","2021",,,,,,,,"2.04",,,,,,,,,,,,,,,"31.31",,,,,,,,,,,
"US1MIOK0035","WATERFORD 2.1 NW, MI US","2021",,,,,,,,"1.70",,,,,,,,,,,,,,,"35.80",,,,,,,,,,,
"USC00205050","MANCHESTER, MI US","2021",,"828","       52","        11","-14","13","6.0","3.11","92","6355",,,,,,,,,,,,,"40.93","33.9","50.3","60.9","39.7",,,,,,,
"US1MICL0005","HARRISON 5.2 ESE, MI US","2021",,,,,,,,"2.82",,,,,,,,,,,,,,,"32.65",,,,,,,,,,,
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2021","6.7","727",,,"-3",,,"3.36","93","6533",,,,,,,,,,,,,"27.34",,"49.5","58.5","40.6","       220","       210",,,"40.0","70.0",
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIIH0032","WILLIAMSTON 4.0 ESE, MI US","2021",,,,,,,,"4.23",,,,,,,,,,,,,,,"42.22",,,,,,,,,,,
"USW00094871","BENTON HARBOR, MI US","2021","7.2","939",,,"-6",,,"2.50","94","5892",,,,,,,,,,,,,"29.99",,"51.9","60.7","43.1","       280","       280",,,"44.1","62.0",
"USW00094871","BENTON HARBOR, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00205065","MANISTEE 3 SE, MI US","2021",,"479",,,"4",,,"2.16","87","6807",,,,,,,,,,,,,"36.24",,"48.1","56.3","40.0",,,,,,,
"USC00206398","PAULDING, MI US","2021",,,"      132","        26",,"23","9.1","1.93","93",,,,,,,,,,,,,,"29.37","93.5",,"53.3",,,,,,,,
"US1MIMR0009","CARLETON 2.5 S, MI US","2021",,,,,,,,"2.78",,,,,,,,,,,,,,,"41.65",,,,,,,,,,,
"USC00206158","OLD MISSION 3 SSW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207364","SAULT STE MARIE, MI US","2021",,"283","      138","        43","-21","24","9.6","2.70","92","8383",,,,,,,,,,,,,"35.52","126.2","43.7","53.4","34.0",,,,,,,
"US1MIMR0004","MONROE 3.0 S, MI US","2021",,,,,,,,"2.25",,,,,,,,,,,,,,,"40.86",,,,,,,,,,,
"USC00204090","IRON MTN KINGSFORD WWTP, MI US","2021",,"460","      108","        20","-27","17","9.0","1.16","94","8128",,,,,,,,,,,,,"26.43","58.3","44.8","55.5","34.1",,,,,,,
"USC00203529","HALE LOUD DAM, MI US","2021",,"583","       89","        18","-6","14","6.0","2.00","92","7107",,,,,,,,,,,,,"31.43","32.6","47.5","57.4","37.6",,,,,,,
"USC00203528","HALE 5 SSW NUMBER 2, MI US","2021",,"396",,,"-14",,,,"92","7836",,,,,,,,,,,,,,,"45.1","56.7","33.5",,,,,,,
"US1MIIH0045","LANSING 1.0 ENE, MI US","2021",,,,,,,,"4.55",,,,,,,,,,,,,,,"37.31",,,,,,,,,,,
"USW00014826","FLINT FCWOS, MI US","2021","8.1","820","       67","        20","-18","14","6.7","2.24","92","6137",,,,,,,,,,,,,"37.69","58.0","50.8","60.3","41.2","       240","       240",,,"45.0","64.0",
"USW00014826","FLINT FCWOS, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200497","BARAGA 7 NW, MI US","2021",,,,,,,,,,"9011",,,,,,,,,,,,,,,,,,,,,,,,
"USW00014828","GLADWIN, MI US","2021",,"551","       88","        18","-15","17","5.0","1.50","91","7139",,,,,,,,,,,,,"31.07","44.6","47.7","58.7","36.6",,,,,,,
"USC00202437","EATON RAPIDS, MI US","2021",,"764",,"        14","-12",,"3.0","1.68","91",,,,,,,,,,,,,,"35.17","24.3","49.9","59.8","40.0",,,,,,,
"US1MIWY0047","BELLEVILLE 2.8 ESE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,"44.17",,,,,,,,,,,
"USC00201468","CHARLEVOIX, MI US","2021",,"456","       87","        20","-1","27","6.0","1.50","90","6920",,,,,,,,,,,,,"32.67","52.2","47.7","54.8","40.7",,,,,,,
"USC00205822","NEWPORT 4 SSE, MI US","2021",,,,,,,,,,"6210",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208417","VANDERBILT 11 ENE, MI US","2021",,,,,,,,,,"8201",,,,,,,,,,,,,,,,,,,,,,,,
"USC00203096","GAYLORD, MI US","2021",,"303","      113","        32","-16","15","5.7","1.98","89","8322",,,,,,,,,,,,,"34.19","92.3","43.7","53.2","34.1",,,,,,,
"US1MIWY0043","DEARBORN HEIGHTS 1.8 NW, MI US","2021",,,,,,,,"5.18",,,,,,,,,,,,,,,"47.81",,,,,,,,,,,
"US1MISC0003","PORT HURON 1.6 W, MI US","2021",,,,,,,,"3.57",,,,,,,,,,,,,,,"37.42",,,,,,,,,,,
"USC00203099","GAYLORD 9 SSW, MI US","2021",,"393","      114","        37","1","16","11.7","2.24","90","7596",,,,,,,,,,,,,"34.02","122.0","45.9","54.2","37.6",,,,,,,
"USW00014833","JACKSON REYNOLDS FIELD, MI US","2021","7.2","851",,,"-15",,,"3.04","92","6177",,,,,,,,,,,,,"34.76",,"50.8","60.6","41.0","       210","       230",,,"40.0","59.1",
"USW00014833","JACKSON REYNOLDS FIELD, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MICT0002","HASLETT 1.2 N, MI US","2021",,,"       84","        20",,"15","8.5","5.40",,,,,,,,,,,,,,,"41.68","49.8",,,,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2021",,"949","       75","        19","-9","16","5.5","2.94","94","6329",,,,,,,,,,,,,"34.61","53.9","51.1","60.5","41.6",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094898","PORT HOPE, MI US","2021","8.9","692",,,"0",,,"2.19","91","6139",,,,,,,,,,,,,"28.45",,"50.3","57.0","43.5","        30","       230",,,"46.1","66.0",
"USW00094899","COPPER HARBOR, MI US","2021","8.7","327",,,"-2",,,"2.71","91","7818",,,,,,,,,,,,,"27.00",,"45.6","52.6","38.6","       360","       350",,,"48.1","68.0",
"USC00202328","DURAND WWTP, MI US","2021",,,"       56","        18",,"12","6.0",,,,,,,,,,,,,,,,,"33.5",,,,,,,,,,
"US1MIMN0006","WELLSTON 3.9 WNW, MI US","2021",,,,,,,,"2.90",,,,,,,,,,,,,,,"37.94",,,,,,,,,,,
"USW00094893","IRON MOUNTAIN FORD AIRPORT, MI US","2021","6.5","410",,,"-27",,,"1.26","94","8244",,,,,,,,,,,,,"12.66",,"44.2","55.7","32.8","       330","       230",,,"38.9","67.1",
"USW00014838","MARQUETTE, MI US","2021",,,,,,,,,,"7859",,,,,,,,,,,,,,,,,,,,,,,,
"USC00201476","CHARLOTTE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203530","HALFWAY LAKE, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203413","GREEN GARDEN NUMBER 2, MI US","2021",,,"      117","        27",,"11","6.4","1.00",,,,,,,,,,,,,,,"27.33","73.8",,,,,,,,,,
"USC00206007","NORTHPORT 2 W, MI US","2021",,"364","       93","        19","5","16","5.4","3.46","85","6908",,,,,,,,,,,,,"32.67","55.5","47.6","54.7","40.5",,,,,,,
"USR0000MSEN","SENEY MICHIGAN, MI US","2021",,"313",,,"-16",,,,"89","7884",,,,,,,,,,,,,,,"44.7","54.9","34.4",,,,,,,
"USC00204502","LAKE CITY EXPERIMENTAL FARM, MI US","2021",,"395","       99","        22","-15","13","7.2","1.80","91","7782",,,,,,,,,,,,,"37.35","62.9","45.4","56.6","34.1",,,,"20673.0",,,
"US1MIWY0052","LIVONIA 2.0 NE, MI US","2021",,,,,,,,"2.55",,,,,,,,,,,,,,,"41.11",,,,,,,,,,,
"USC00206012","NW MICHIGAN RESEARCH FARM, MI US","2021",,"594","       89","        35","4","13","6.5","2.84","90","6774",,,,,,,,,,,,,"32.44","79.2","48.8","55.7","41.8",,,,,,,
"USC00207222","SAGINAW NUMBER 3, MI US","2021",,"812","       57","        15","-11","10","5.0","1.81","92","6384",,,,,,,,,,,,,"38.40","33.8","50.2","59.6","40.9",,,,,,,
"USW00014840","MUSKEGON CO AIRPORT, MI US","2021","8.7","815","       61","        16","-9","16","5.9","2.24","90","6057",,,,,,,,,,,,,"30.93","40.6","51.1","59.7","42.5","       180","       190",,,"38.9","63.1",
"USW00014840","MUSKEGON CO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00206013","NWSFO GRAND RAPIDS, MI US","2021",,"800","       61","        23","-7","13","7.9","2.99","91","6283",,,,,,,,,,,,,"38.70","60.6","50.5","59.2","41.8",,,,,,,
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2021","6.7","392",,,"-21",,,"2.10","93","7680",,,,,,,,,,,,,"29.40",,"45.5","56.3","34.7","       230","       230",,,"38.0","64.0",
"USW00014841","PELLSTON REGIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MISC0014","PORT HURON 2.8 WSW, MI US","2021",,,,,,,,"4.09",,,,,,,,,,,,,,,"39.14",,,,,,,,,,,
"USC00203661","HASTINGS, MI US","2021",,"706","       73","        22","-13","15","6.0","2.80","91","6664",,,,,,,,,,,,,"38.26","51.7","49.4","59.7","39.1",,,,,,,
"USW00014845","SAGINAW MBS INTERNATIONAL AIRPORT, MI US","2021","9.2","807","       65","        16","-6","8","4.3","1.66","91","6306",,,,,,,,,,,,,"30.68","38.9","50.4","59.3","41.5","       240","       300",,,"45.0","63.1",
"USW00014845","SAGINAW MBS INTERNATIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201361","CASS CITY 1 SSW, MI US","2021",,"560","       69","        14","-17","19","7.0","1.71","90","6952",,,,,,,,,,,,,"32.07","36.0","47.9","58.1","37.6",,,,,,,
"USC00202691","FARMINGTON, MI US","2021",,"743","       42","        11","-6","9","5.7","3.53","90","6587",,,,,,,,,,,,,"50.06","31.0","49.7","59.6","39.8",,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2021","6.7","412","      138","        34","-12","24","9.6","1.54","91","7592",,,,,,,,,,,,,"34.09","117.4","46.2","54.6","37.8","       230","       230",,,"36.9","57.9",
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2021","6.9","682",,,"-19",,,"2.53","91",,,,,,,,,,,,,,"30.33",,"49.4","60.3","38.5","       250","       260",,,"42.9","61.1",
"USW00094889","ANN ARBOR MUNICIPAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00201845","COVINGTON 1 NNW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200758","BEULAH 7 SSW, MI US","2021",,"542","       88","        16","-1","17","7.3","3.57","89","6878",,,,,,,,,,,,,"30.63","58.9","48.4","56.9","39.8",,,,,,,
"USW00004847","ADRIAN LENAWEE CO AIRPORT, MI US","2021","7.4","885",,,"-14",,,"2.73","92","6119",,,,,,,,,,,,,"37.68",,"51.1","60.5","41.7","       220","       260",,,"38.0","55.9",
"USW00004847","ADRIAN LENAWEE CO AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMB0065","CHESTERFIELD 2.4 E, MI US","2021",,,,,,,,"2.56",,,,,,,,,,,,,,,"38.41",,,,,,,,,,,
"USC00200197","AMASA 1 W, MI US","2021",,"327","      125","        23","-46","22","12.5","1.79","94",,,,,,,,,,,,,,"26.87","84.1","41.6","54.6","28.6",,,,,,,
"USC00202375","EAST GRAND RAPIDS, MI US","2021",,"713","       68","        21","-6","14","6.1","1.91","92","6586",,,,,,,,,,,,,"38.82","59.1","49.5","59.5","39.6",,,,,,,
"USC00203585","HARBOR BEACH 1 SSE, MI US","2021",,"506","       71","        13","-2","15","6.8","1.63","92","6726",,,,,,,,,,,,,"32.77","37.2","48.3","55.8","40.9",,,,,,,
"US1MICX0004","CHARLEVOIX 4.3 SSE, MI US","2021",,,,,,,,"1.30",,,,,,,,,,,,,,,"31.79",,,,,,,,,,,
"USC00207820","STANDISH 4 NE, MI US","2021",,"557","       86","        14","-14","12","5.0","1.88","91","7038",,,,,,,,,,,,,"28.44","41.1","47.7","57.2","38.2",,,,,,,
"USC00205406","MICHIGAMME 3 WNW, MI US","2021",,,"      135","        30",,"23","8.5","1.65",,,,,,,,,,,,,,,"27.28","107.8",,,,,,,,,,
"US1MIIN0001","SARANAC 2.6 NE, MI US","2021",,,"       80","        21",,"16","5.7","2.45",,,,,,,,,,,,,,,"35.30","58.8",,,,,,,,,,
"USC00207277","ST JAMES 4 SSW BEAVER ISLAND, MI US","2021",,"315","       99","        24","-8","18","10.0","1.46","86","7298",,,,,,,,,,,,,"28.60","69.1","46.2","53.4","39.0",,,,,,,
"USC00208245","TRAVERSE CITY 4.7ESE, MI US","2021",,,"      103","        27",,"22","12.7","2.94",,,,,,,,,,,,,,,"35.71","84.3",,,,,,,,,,
"USC00202381","EAST JORDAN, MI US","2021",,"440","       86","        24","-11","12","7.1","1.20","90",,,,,,,,,,,,,,"28.67","75.1","46.2","56.0","36.3",,,,,,,
"USC00205097","MAPLE CITY 1 E, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00206982","RICHMOND 4 NNW, MI US","2021",,"851","       56","        16","-17","19","9.7","4.23","91","6407",,,,,,,,,,,,,"42.70","48.0","50.2","59.4","41.1",,,,,,,
"USC00206184","ONAWAY 4 N, MI US","2021",,"384","      101","        19","-9","13","6.2","2.52","91","7333",,,,,,,,,,,,,"30.69","64.4","46.3","56.9","35.8",,,,,,,
"USC00204320","KENT CITY 2 SW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00202382","EAST JORDAN 2 NW, MI US","2021",,"427","      108","        26","-10","20","7.7","1.48","92","7796",,,,,,,,,,,,,"29.07","93.5","45.6","54.9","36.4",,,,,,,
"USC00205892","NILES, MI US","2021",,"1030",,,"-1",,,"2.57","92","5643",,,,,,,,,,,,,"39.23",,"52.8","62.3","43.3",,,,,,,
"USC00207275","ST. IGNACE, MI US","2021",,,,,,,,,,"7888",,,,,,,,,,,,,,,,,,,,,,,,
"USR0000MMIO","MIO MICHIGAN, MI US","2021",,"469",,,"-14",,,,"94","7579",,,,,,,,,,,,,,,"46.0","57.2","34.8",,,,,,,
"USW00004839","HOLLAND TULIP CITY AIRPORT, MI US","2021","7.8","845",,,"-10",,,"1.70","92","6048",,,,,,,,,,,,,"27.62",,"51.3","60.0","42.6","       240","       210",,,"46.1","80.1",
"USW00004839","HOLLAND TULIP CITY AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMQ0019","ISHPEMING 7.2 SW, MI US","2021",,,"      128","        30",,"20","8.4","1.94",,,,,,,,,,,,,,,"30.18","100.9",,,,,,,,,,
"USC00203477","GROSSE POINTE FARMS, MI US","2021",,"1084","       42","         7","3","12","2.5",,"97",,,,,,,,,,,,,,,"15.1","51.8","60.1","43.4",,,,,,,
"USR0000MBRR","BEAR MICHIGAN, MI US","2021",,"417",,,"0",,,,"87","6896",,,,,,,,,,,,,,,"47.7","56.0","39.4",,,,,,,
"USC00205533","MIO WWTP, MI US","2021",,"560","       99","        17","-11","13","10.0","1.64","94","7323",,,,,,,,,,,,,"26.78","45.3","47.0","58.0","36.0",,,,,,,
"USC00200089","ALBERTA FORD FOR CENTER, MI US","2021",,,,,,,,,,"8711",,,,,,,,,,,,,,,,,,,,,,,,
"USC00201178","CADILLAC 9 AND 10 NEWS, MI US","2021",,,,,,,,,,"7572",,,,,,,,,,,,,"35.53",,,,,,,,,,,
"USC00201299","CARO WWTP, MI US","2021",,"742","       66","        15","-14","14","9.5","1.91","92","6652",,,,,,,,,,,,,"31.93","37.2","49.1","59.0","39.3",,,,,,,
"USC00206507","PETOSKEY, MI US","2021",,"333",,"        23","4",,"8.0","1.55","89","7308",,,,,,,,,,,,,"31.98","74.6","46.5","53.5","39.5",,,,,,,
"USC00208249","TRAVERSE CITY MUNSON, MI US","2021",,,,,,,,,,"7124",,,,,,,,,,,,,,,,,,,,,,,,
"USC00208800","WEST BRANCH 3 SE, MI US","2021",,"494","       91","        19","-13","15","5.8","1.92","91","7428",,,,,,,,,,,,,"33.65","47.8","46.7","57.3","36.0",,,,,,,
"US1MIAN0020","HOLLAND 5.3 WSW, MI US","2021",,,,,,,,"2.98",,,,,,,,,,,,,,,"32.73",,,,,,,,,,,
"US1MIWY0033","LIVONIA 2.3 NNW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,"42.85",,,,,,,,,,,
"USC00206510","PETOSKEY NCMC, MI US","2021",,"356","       95","        30","-9","13","6.1","1.46","90","7765",,,,,,,,,,,,,"33.73","80.9","45.3","53.9","36.8",,,,,,,
"USC00205662","CENTRAL MICHIGAN UNIVERSITY, MI US","2021",,,,,,,,,,"6365",,,,,,,,,,,,,,,,,,,,,,,,
"US1MIOK0063","FENTON 2.7 SSE, MI US","2021",,,,,,,,"3.25",,,,,,,,,,,,,,,"47.78",,,,,,,,,,,
"US1MIHR0010","BAY PORT 3.2 SSW, MI US","2021",,,,"        14",,,"5.0","1.43",,,,,,,,,,,,,,,"25.53","34.9",,,,,,,,,,
"US1MICS0005","NILES 3.5 E, MI US","2021",,,,,,,,"2.42",,,,,,,,,,,,,,,"42.30",,,,,,,,,,,
"USC00206839","RAPID RIVER 1 SW, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIMD0010","MIDLAND 1.5 NNE, MI US","2021",,,"       61","        11",,"15","5.5","2.21",,,,,,,,,,,,,,,"32.22","37.2",,,,,,,,,,
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2021","8.9","864","       63","        22","-12","14","7.9","2.81","92","6222",,,,,,,,,,,,,"38.07","58.6","50.8","59.9","41.7","       260","       260",,,"46.1","62.0",
"USW00094860","GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00204655","LAPEER WWTP, MI US","2021",,"790","       56","        18","-14","15","8.0","2.07","91","6457",,,,,,,,,,,,,"34.06","36.5","49.9","60.0","39.8",,,,,,,
